Rider_Name,Season,Points,Racedays,KMs_Rode,Wins,Top_10s
enrico poitschke,2008.0,20.0,68.0,10805.0,0.0,0.0
enrico poitschke,2007.0,41.0,76.0,11994.0,0.0,0.0
enrico poitschke,2006.0,67.0,80.0,12553.0,0.0,0.0
enrico poitschke,2005.0,53.0,61.0,8633.0,0.0,0.0
enrico poitschke,2004.0,129.0,60.0,9632.0,0.0,1.0
enrico poitschke,2003.0,305.0,48.0,7554.0,1.0,6.0
enrico poitschke,2002.0,195.0,46.0,7815.0,0.0,2.0
enrico poitschke,2001.0,188.0,35.0,5923.0,4.0,9.0
enrico poitschke,2000.0,40.0,24.0,3941.0,0.0,2.0
enrico poitschke,1999.0,11.0,14.0,2045.0,0.0,2.0
enrico poitschke,1998.0,2.0,1.0,130.0,0.0,1.0
jerome gilbert,2015.0,0.0,5.0,946.0,0.0,0.0
jerome gilbert,2014.0,2.0,48.0,6848.0,0.0,0.0
jerome gilbert,2013.0,0.0,52.0,7057.0,0.0,0.0
jerome gilbert,2012.0,0.0,31.0,4905.0,0.0,0.0
jerome gilbert,2010.0,0.0,1.0,130.0,0.0,0.0
jerome gilbert,2003.0,0.0,1.0,162.0,0.0,0.0
jerome gilbert,2001.0,0.0,1.0,126.0,0.0,0.0
davide bais,2022.0,13.0,21.0,3384.0,0.0,0.0
davide bais,2021.0,10.0,50.0,7856.0,0.0,0.0
davide bais,2020.0,3.0,21.0,2848.0,0.0,0.0
davide bais,2019.0,20.0,45.0,6055.0,0.0,0.0
davide bais,2018.0,3.0,32.0,4250.0,0.0,0.0
davide bais,2017.0,0.0,2.0,166.0,0.0,0.0
davide bais,2016.0,4.0,5.0,572.0,0.0,0.0
davide bais,2015.0,0.0,2.0,136.0,0.0,0.0
pasquale muto,2011.0,93.0,31.0,4713.0,0.0,0.0
pasquale muto,2010.0,252.0,72.0,10928.0,0.0,4.0
pasquale muto,2009.0,226.0,53.0,8175.0,1.0,5.0
pasquale muto,2008.0,212.0,56.0,9078.0,0.0,1.0
pasquale muto,2007.0,176.0,56.0,9355.0,1.0,2.0
pasquale muto,2006.0,99.0,61.0,9684.0,0.0,2.0
pasquale muto,2005.0,115.0,63.0,9526.0,0.0,0.0
pasquale muto,2004.0,102.0,34.0,6008.0,0.0,0.0
pasquale muto,2003.0,15.0,8.0,1168.0,1.0,1.0
pasquale muto,2002.0,0.0,3.0,320.0,0.0,0.0
pasquale muto,2001.0,10.0,1.0,170.0,0.0,1.0
pasquale muto,2000.0,0.0,1.0,145.0,0.0,0.0
mart ojavee,2013.0,6.0,70.0,9641.0,0.0,1.0
mart ojavee,2012.0,4.0,40.0,5446.0,0.0,0.0
mart ojavee,2011.0,57.0,70.0,9539.0,1.0,6.0
mart ojavee,2010.0,4.0,28.0,3791.0,0.0,0.0
mart ojavee,2009.0,30.0,49.0,7138.0,1.0,2.0
mart ojavee,2008.0,114.0,37.0,5053.0,3.0,5.0
mart ojavee,2007.0,35.0,45.0,6616.0,3.0,7.0
mart ojavee,2006.0,17.0,35.0,4543.0,0.0,1.0
mart ojavee,2005.0,0.0,27.0,3610.0,0.0,0.0
mart ojavee,2004.0,0.0,10.0,1464.0,0.0,0.0
mart ojavee,2003.0,0.0,3.0,489.0,0.0,0.0
mart ojavee,2002.0,0.0,1.0,99.0,0.0,0.0
staf scheirlinckx,2013.0,5.0,58.0,7991.0,0.0,0.0
staf scheirlinckx,2012.0,38.0,64.0,9470.0,0.0,0.0
staf scheirlinckx,2011.0,115.0,63.0,10592.0,0.0,0.0
staf scheirlinckx,2010.0,161.0,67.0,10449.0,0.0,0.0
staf scheirlinckx,2009.0,88.0,82.0,12648.0,0.0,0.0
staf scheirlinckx,2008.0,126.0,74.0,12321.0,0.0,0.0
staf scheirlinckx,2007.0,311.0,98.0,16891.0,0.0,2.0
staf scheirlinckx,2006.0,166.0,78.0,12493.0,0.0,0.0
staf scheirlinckx,2005.0,126.0,73.0,11575.0,0.0,0.0
staf scheirlinckx,2004.0,84.0,52.0,8164.0,0.0,0.0
staf scheirlinckx,2003.0,125.0,49.0,8003.0,0.0,1.0
staf scheirlinckx,2002.0,26.0,29.0,5061.0,0.0,0.0
staf scheirlinckx,2001.0,34.0,25.0,3906.0,1.0,2.0
staf scheirlinckx,2000.0,4.0,21.0,3285.0,0.0,0.0
staf scheirlinckx,1999.0,15.0,3.0,188.0,1.0,1.0
staf scheirlinckx,1998.0,4.0,1.0,0.0,0.0,0.0
staf scheirlinckx,1997.0,112.0,3.0,61.0,1.0,2.0
koen bouwman,2022.0,20.0,20.0,3174.0,0.0,0.0
koen bouwman,2021.0,275.0,70.0,10962.0,0.0,1.0
koen bouwman,2020.0,43.0,28.0,4549.0,0.0,0.0
koen bouwman,2019.0,218.0,78.0,11717.0,0.0,0.0
koen bouwman,2018.0,173.0,82.0,12092.0,0.0,1.0
koen bouwman,2017.0,116.0,69.0,10170.0,1.0,1.0
koen bouwman,2016.0,46.0,69.0,10685.0,0.0,0.0
koen bouwman,2015.0,12.0,60.0,8931.0,1.0,1.0
koen bouwman,2014.0,26.0,21.0,3228.0,0.0,1.0
koen bouwman,2013.0,0.0,28.0,4058.0,0.0,0.0
koen bouwman,2012.0,0.0,9.0,1256.0,0.0,0.0
koen bouwman,2011.0,12.0,15.0,1453.0,0.0,0.0
