Rider_Name,Season,Points,Racedays,KMs_Rode,Wins,Top_10s
quentin-jauregui,2019.0,196.0,78.0,12685.0,0.0,2.0
quentin-jauregui,2018.0,127.0,67.0,11412.0,0.0,1.0
quentin-jauregui,2017.0,139.0,66.0,11310.0,0.0,1.0
quentin-jauregui,2016.0,30.0,74.0,11135.0,0.0,0.0
quentin-jauregui,2015.0,124.0,54.0,8100.0,1.0,3.0
quentin-jauregui,2014.0,85.0,55.0,8090.0,1.0,2.0
quentin-jauregui,2013.0,0.0,21.0,3102.0,0.0,0.0
quentin-jauregui,2012.0,380.0,23.0,2181.0,3.0,6.0
quentin-jauregui,2011.0,0.0,4.0,331.0,0.0,0.0
david-blanco,2012.0,173.0,25.0,3574.0,2.0,3.0
david-blanco,2011.0,119.0,79.0,12054.0,0.0,0.0
david-blanco,2010.0,244.0,33.0,4755.0,5.0,9.0
david-blanco,2009.0,301.0,39.0,5675.0,3.0,6.0
david-blanco,2008.0,348.0,50.0,7098.0,1.0,8.0
david-blanco,2007.0,298.0,41.0,6054.0,2.0,7.0
david-blanco,2006.0,293.0,38.0,5824.0,3.0,5.0
david-blanco,2005.0,390.0,54.0,8775.0,0.0,4.0
david-blanco,2004.0,361.0,54.0,7931.0,0.0,3.0
david-blanco,2003.0,60.0,34.0,4531.0,0.0,1.0
david-blanco,2002.0,0.0,1.0,0.0,0.0,0.0
david-blanco,2001.0,5.0,6.0,681.0,0.0,0.0
david-blanco,2000.0,0.0,17.0,2534.0,0.0,0.0
floris-goesinnen,2014.0,5.0,40.0,6214.0,0.0,0.0
floris-goesinnen,2013.0,19.0,36.0,5061.0,0.0,1.0
floris-goesinnen,2012.0,97.0,40.0,5253.0,1.0,5.0
floris-goesinnen,2011.0,19.0,43.0,6033.0,1.0,2.0
floris-goesinnen,2010.0,30.0,63.0,10339.0,0.0,0.0
floris-goesinnen,2009.0,67.0,68.0,11140.0,0.0,1.0
floris-goesinnen,2008.0,119.0,81.0,12971.0,1.0,1.0
floris-goesinnen,2007.0,140.0,69.0,11206.0,1.0,1.0
floris-goesinnen,2006.0,107.0,46.0,7404.0,0.0,1.0
floris-goesinnen,2005.0,0.0,31.0,4031.0,0.0,0.0
floris-goesinnen,2004.0,6.0,28.0,4097.0,0.0,0.0
floris-goesinnen,2003.0,0.0,17.0,2559.0,0.0,0.0
floris-goesinnen,2002.0,0.0,1.0,152.0,0.0,0.0
franck-bouyer,2013.0,11.0,50.0,7765.0,0.0,0.0
franck-bouyer,2012.0,7.0,52.0,7413.0,0.0,0.0
franck-bouyer,2011.0,36.0,51.0,7431.0,0.0,0.0
franck-bouyer,2010.0,64.0,68.0,10294.0,1.0,1.0
franck-bouyer,2009.0,0.0,72.0,11197.0,0.0,0.0
franck-bouyer,2006.0,0.0,14.0,1942.0,0.0,0.0
franck-bouyer,2005.0,5.0,12.0,2008.0,0.0,0.0
franck-bouyer,2004.0,227.0,35.0,5665.0,2.0,3.0
franck-bouyer,2003.0,154.0,50.0,7892.0,0.0,3.0
franck-bouyer,2002.0,309.0,79.0,12729.0,1.0,3.0
franck-bouyer,2001.0,360.0,82.0,13107.0,2.0,4.0
franck-bouyer,2000.0,44.0,42.0,7089.0,0.0,0.0
franck-bouyer,1999.0,31.0,32.0,4841.0,0.0,1.0
franck-bouyer,1998.0,100.0,44.0,6795.0,0.0,3.0
franck-bouyer,1997.0,93.0,19.0,2607.0,0.0,0.0
