Rider_id,Name,Height,Weight,Nationality,Climbing,General_Classification,Time_Trial,Sprint,One_Day_Races
connor-swift,Connor  Swift, 1.90 m, 75 kg   ,Great Britain,240,410,131,261,487
alexander-serov,Alexander  Serov, 1.89 m, 77 kg   ,Russia,77,113,530,562,71
riccardo-stacchiotti,Riccardo  Stacchiotti, 1.79 m, 70 kg   ,Italy,42,189,373,812,33
alessandro-bertolini,Alessandro  Bertolini, 1.71 m, 63 kg   ,Italy,622,540,28,2026,2716
daniel-summerhill,Daniel  Summerhill, 1.85 m, 70 kg   ,United States,38,59,160,343,55
paul-ourselin,Paul  Ourselin, 1.85 m, 70 kg   ,France,48,77,30,82,119
boris-dron,Boris  Dron, 1.83 m, 72 kg   ,Belgium,2,51,16,270,95
fortunato-baliani,Fortunato  Baliani,NaN,NaN,Italy,889,1269,100,1094,1076
