year,race_id,winner_id,category
2019,omloop-het-nieuwsblad,zdenek-stybar,1.UWT
2019,strade-bianche,julian-alaphilippe,1.UWT
2019,paris-nice,egan-bernal,2.UWT
2019,tirreno-adriatico,primoz-roglic,2.UWT
2019,milano-sanremo,julian-alaphilippe,1.UWT
2019,volta-a-catalunya,miguel-angel-lopez,2.UWT
2019,oxyclean-classic-brugge-de-panne,dylan-groenewegen,1.UWT
2019,e3-harelbeke,zdenek-stybar,1.UWT
2019,gent-wevelgem,alexander-kristoff,1.UWT
2019,dwars-door-vlaanderen,mathieu-van-der-poel,1.UWT
2019,ronde-van-vlaanderen,alberto-bettiol,1.UWT
2019,itzulia-basque-country,ion-izagirre,2.UWT
2019,paris-roubaix,philippe-gilbert,1.UWT
2019,tour-of-turkey,felix-grossschartner,2.UWT
2019,amstel-gold-race,mathieu-van-der-poel,1.UWT
2019,la-fleche-wallone,julian-alaphilippe,1.UWT
2019,liege-bastogne-liege,jakob-fuglsang,1.UWT
2019,tour-de-romandie,primoz-roglic,2.UWT
2019,Eschborn-Frankfurt,pascal-ackermann,1.UWT
2019,giro-d-italia,richard-carapaz,2.UWT
2019,tour-of-california,tadej-pogacar,2.UWT
2019,dauphine,jakob-fuglsang,2.UWT
2019,tour-de-suisse,egan-bernal,2.UWT
2019,tour-de-france,egan-bernal,2.UWT
2019,san-sebastian,remco-evenepoel,1.UWT
2019,tour-de-pologne,pavel-sivakov,2.UWT
2019,ride-london-classic,elia-viviani,1.UWT
2019,benelux-tour,laurens-de-plus,2.UWT
2019,vuelta-a-espana,primoz-roglic,2.UWT
2019,cyclassics-hamburg,elia-viviani,1.UWT
2019,bretagne-classic,sep-vanmarcke,1.UWT
2019,gp-quebec,michael-matthews,1.UWT
2019,gp-montreal,greg-van-avermaet,1.UWT
2019,il-lombardia,bauke-mollema,1.UWT
2019,tour-of-guangxi,enric-mas,2.UWT
2018,tour-down-under,daryl-impey,2.UWT
2018,great-ocean-race,jay-mccarthy,1.UWT
2018,abu-dhabi-tour,alejandro-valverde,2.UWT
2018,omloop-het-nieuwsblad,michael-valgren-andersen,1.UWT
2018,strade-bianche,tiesj-benoot,1.UWT
2018,paris-nice,marc-soler,2.UWT
2018,tirreno-adriatico,michal-kwiatkowski,2.UWT
2018,milano-sanremo,vincenzo-nibali,1.UWT
2018,volta-a-catalunya,alejandro-valverde,2.UWT
2018,e3-harelbeke,niki-terpstra,1.UWT
2018,gent-wevelgem,peter-sagan,1.UWT
2018,dwars-door-vlaanderen,yves-lampaert,1.UWT
2018,ronde-van-vlaanderen,niki-terpstra,1.UWT
2018,itzulia-basque-country,primoz-roglic,2.UWT
2018,paris-roubaix,peter-sagan,1.UWT
2018,amstel-gold-race,michael-valgren-andersen,1.UWT
2018,la-fleche-wallone,julian-alaphilippe,1.UWT
2018,liege-bastogne-liege,bob-jungels,1.UWT
2018,tour-de-romandie,primoz-roglic,2.UWT
2018,Eschborn-Frankfurt,alexander-kristoff,1.UWT
2018,giro-d-italia,christopher-froome,2.UWT
2018,tour-of-california,egan-bernal,2.UWT
2018,dauphine,geraint-thomas,2.UWT
2018,tour-de-suisse,richie-porte,2.UWT
2018,tour-de-france,geraint-thomas,2.UWT
2018,ride-london-classic,pascal-ackermann,1.UWT
2018,san-sebastian,julian-alaphilippe,1.UWT
2018,tour-de-pologne,michal-kwiatkowski,2.UWT
2018,benelux-tour,matej-mohoric,2.UWT
2018,cyclassics-hamburg,elia-viviani,1.UWT
2018,vuelta-a-espana,simon-yates,2.UWT
2018,bretagne-classic,oliver-naesen,1.UWT
2018,gp-quebec,michael-matthews,1.UWT
2018,gp-montreal,michael-matthews,1.UWT
2018,tour-of-turkey,eduard-prades,2.UWT
2018,il-lombardia,thibaut-pinot,1.UWT
2018,tour-of-guangxi,gianni-moscon,2.UWT
2017,tour-down-under,richie-porte,2.UWT
2017,great-ocean-race,nikias-arndt,1.UWT
2017,abu-dhabi-tour,rui-costa,2.UWT
2017,omloop-het-nieuwsblad,greg-van-avermaet,1.UWT
2017,strade-bianche,michal-kwiatkowski,1.UWT
2017,paris-nice,sergio-luis-henao,2.UWT
2017,tirreno-adriatico,nairo-quintana,2.UWT
2017,milano-sanremo,michal-kwiatkowski,1.UWT
2017,volta-a-catalunya,alejandro-valverde,2.UWT
2017,dwars-door-vlaanderen,yves-lampaert,1.UWT
2017,e3-harelbeke,greg-van-avermaet,1.UWT
2017,gent-wevelgem,greg-van-avermaet,1.UWT
2017,ronde-van-vlaanderen,philippe-gilbert,1.UWT
2017,itzulia-basque-country,alejandro-valverde,2.UWT
2017,paris-roubaix,greg-van-avermaet,1.UWT
2017,amstel-gold-race,philippe-gilbert,1.UWT
2017,la-fleche-wallone,alejandro-valverde,1.UWT
2017,liege-bastogne-liege,alejandro-valverde,1.UWT
2017,tour-de-romandie,richie-porte,2.UWT
2017,Eschborn-Frankfurt,alexander-kristoff,1.UWT
2017,giro-d-italia,tom-dumoulin,2.UWT
2017,tour-of-california,george-bennett,2.UWT
2017,dauphine,jakob-fuglsang,2.UWT
2017,tour-de-suisse,simon-spilak,2.UWT
2017,tour-de-france,christopher-froome,2.UWT
2017,san-sebastian,michal-kwiatkowski,1.UWT
2017,tour-de-pologne,dylan-teuns,2.UWT
2017,ride-london-classic,alexander-kristoff,1.UWT
2017,benelux-tour,tom-dumoulin,2.UWT
2017,vuelta-a-espana,christopher-froome,2.UWT
2017,cyclassics-hamburg,elia-viviani,1.UWT
2017,bretagne-classic,elia-viviani,1.UWT
2017,gp-quebec,peter-sagan,1.UWT
2017,gp-montreal,diego-ulissi,1.UWT
2017,il-lombardia,vincenzo-nibali,1.UWT
2017,tour-of-turkey,diego-ulissi,2.UWT
2017,tour-of-guangxi,tim-wellens,2.UWT
2016,tour-down-under,simon-gerrans,2.UWT
2016,paris-nice,geraint-thomas,2.UWT
2016,tirreno-adriatico,greg-van-avermaet,2.UWT
2016,milano-sanremo,arnaud-demare,1.UWT
2016,volta-a-catalunya,nairo-quintana,2.UWT
2016,e3-harelbeke,michal-kwiatkowski,1.UWT
2016,gent-wevelgem,peter-sagan,1.UWT
2016,ronde-van-vlaanderen,peter-sagan,1.UWT
2016,itzulia-basque-country,alberto-contador,2.UWT
2016,paris-roubaix,mathew-hayman,1.UWT
2016,amstel-gold-race,enrico-gasparotto,1.UWT
2016,la-fleche-wallone,alejandro-valverde,1.UWT
2016,liege-bastogne-liege,wout-poels,1.UWT
2016,tour-de-romandie,nairo-quintana,2.UWT
2016,giro-d-italia,vincenzo-nibali,2.UWT
2016,dauphine,christopher-froome,2.UWT
2016,tour-de-suisse,miguel-angel-lopez,2.UWT
2016,tour-de-france,christopher-froome,2.UWT
2016,tour-de-pologne,tim-wellens,2.UWT
2016,san-sebastian,bauke-mollema,1.UWT
2016,vuelta-a-espana,nairo-quintana,2.UWT
2016,cyclassics-hamburg,caleb-ewan,1.UWT
