DATE,Dist,Vert_meters,Race_ranking,Start_list_quality_score,Uci_scale,Points_scale,Won_how
01 May 2016,206.8 km,2691,0,225,UCI.WR.Pro,1.PRO,Sprint of large group
30 July 2022,224.8 km,4147,20,724,UCI.WR.C2,1.WT.B,44.5 km solo
31 July 2021,223.5 km,4113,27,645,UCI.WR.C2,1.WT.B,Sprint of small group
25 July 2020,0 km,,550,0,,,? - let us know!
03 August 2019,227.3 km,3980,0,788,UCI.WR.C2,1.WT.B,8.8 km solo
04 August 2018,228.7 km,4130,0,784,UCI.WR.C2,1.WT.B,Sprint a deux
29 July 2017,231 km,4156,0,869,UCI.WR.C2,1.WT.B,Sprint of small group
30 July 2016,220.2 km,3851,0,916,UCI.WR.C2,1.WT.B,8.1 km solo
21 August 2022,204.7 km,892,27,651,UCI.WR.C2,1.WT.B,Sprint of small group
22 August 2021,0 km,,617,0,UCI.WR.C2,1.WT.B,? - let us know!
03 October 2020,0 km,,518,0,,,? - let us know!
25 August 2019,216.7 km,2502,0,633,UCI.WR.C2,1.WT.B,Sprint of large group
19 August 2018,216.4 km,2259,0,585,UCI.WR.C2,1.WT.B,Sprint of large group
20 August 2017,220.9 km,1236,0,669,UCI.WR.C2,1.WT.B,Sprint of large group
21 August 2016,217.7 km,1252,0,714,UCI.WR.C2,1.WT.B,Sprint of large group
28 August 2022,254.8 km,3116,12,812,UCI.WR.C2,1.WT.B,Sprint of small group
29 August 2021,251 km,3695,23,653,UCI.WR.C2,1.WT.B,Sprint a deux
25 August 2020,247.75 km,2881,40,331,UCI.WR.C2,1.WT.B,Sprint of small group
01 September 2019,248.1 km,3765,0,741,UCI.WR.C2,1.WT.B,0.8 km solo
26 August 2018,256.9 km,2802,0,716,UCI.WR.C2,1.WT.B,Sprint of small group
27 August 2017,239.7 km,3176,0,1004,UCI.WR.C2,1.WT.B,Sprint of large group
28 August 2016,247 km,2914,0,1003,UCI.WR.C2,1.WT.B,Sprint a deux
09 September 2022,201.6 km,2508,10,866,UCI.WR.C1,1.WT.B,2.1 km solo
10 September 2021,0 km,,631,0,,,? - let us know!
11 September 2020,0 km,,487,0,,,? - let us know!
13 September 2019,201.6 km,2508,0,821,UCI.WR.C1,1.WT.B,Sprint of large group
07 September 2018,201.6 km,2508,0,723,UCI.WR.C1,1.WT.B,Sprint of large group
08 September 2017,201.6 km,2824,0,826,UCI.WR.C1,1.WT.B,Sprint of large group
09 September 2016,201.6 km,2824,0,974,UCI.WR.C1,1.WT.B,Sprint of small group
11 September 2022,221.4 km,4124,11,864,UCI.WR.C1,1.WT.B,Sprint of small group
12 September 2021,0 km,,635,0,,,? - let us know!
13 September 2020,0 km,,493,0,,,? - let us know!
15 September 2019,219.6 km,4793,0,821,UCI.WR.C1,1.WT.B,Sprint of small group
09 September 2018,195.2 km,3564,0,717,UCI.WR.C1,1.WT.B,Sprint of large group
10 September 2017,205.7 km,3779,0,826,UCI.WR.C1,1.WT.B,Sprint of small group
11 September 2016,205.7 km,3779,0,974,UCI.WR.C1,1.WT.B,Sprint of large group
08 October 2022,253 km,4852,6,1019,UCI.WR.C1,1.WT.A,Sprint a deux
09 October 2021,239 km,4659,8,1069,UCI.WR.C1,1.WT.A,Sprint a deux
15 August 2020,231 km,3975,18,651,UCI.WR.C1,1.WT.A,6.3 km solo
12 October 2019,243 km,4087,0,1046,UCI.WR.C1,1.WT.A,18.3 km solo
13 October 2018,241 km,3867,0,1050,UCI.WR.C1,1.WT.A,13.9 km solo
07 October 2017,247 km,4115,0,1120,UCI.WR.C1,1.WT.A,12.9 km solo
01 October 2016,240 km,5236,0,1176,UCI.WR.C1,1.WT.A,Sprint of small group
