Name,Height,Weight,Nationality,Climbing,General_Classification,Time_Trial,Sprint,One_Day_Races
Andrea  Grendene,NaN,NaN,Italy,6Climber,15GC,4Time trial,234Sprint,43One day races
Alexis  Renard, 1.86 m, 74 kg   ,France,37Climber,132GC,11Time trial,166Sprint,102One day races
Tiziano  Dall'Antonia, 1.84 m, 70 kg   ,Italy,115Climber,341GC,259Time trial,662Sprint,308One day races
Florent  Brard, 1.87 m, 74 kg   ,France,61Climber,323GC,985Time trial,828Sprint,822One day races
Rasmus  Tiller, 1.74 m, 71 kg   ,Norway,140Climber,82GC,41Time trial,384Sprint,696One day races
Francisco José  Pacheco,NaN,NaN,Spain,8Climber,26GC,47Time trial,1321Sprint,166One day races
Wilco  Kelderman, 1.85 m, 65 kg   ,Netherlands,4982Climber,5016GC,2346Time trial,450Sprint,584One day races
Koen  Barbé, 1.82 m, 75 kg   ,Belgium,24Climber,25GC,2Time trial,419Sprint,364One day races
Gregory  Joseph, 1.76 m, 67 kg   ,Belgium,0Climber,0GC,0Time trial,235Sprint,152One day races
Jimmy  Engoulvent, 1.87 m, 82 kg   ,France,87Climber,720GC,1275Time trial,1706Sprint,594One day races
Mathieu  Criquielion,NaN,NaN,Belgium,0Climber,0GC,0Time trial,42Sprint,37One day races
Peter  Sagan, 1.82 m, 78 kg   ,Slovakia,7094Climber,1687GC,1313Time trial,10784Sprint,9184One day races
Hans  Dekkers, 1.72 m, 72 kg   ,Netherlands,0Climber,25GC,99Time trial,1598Sprint,423One day races
Vincenzo  Albanese, 1.75 m, 70 kg   ,Italy,298Climber,63GC,30Time trial,428Sprint,505One day races
Tom Van Asbroeck, 1.82 m, 72 kg   ,Belgium,312Climber,482GC,20Time trial,3370Sprint,2456One day races
Jack  Haig, 1.90 m, 67 kg   ,Australia,2124Climber,2167GC,263Time trial,178Sprint,549One day races
Jeremy  Hunt, 1.81 m, 76 kg   ,Great Britain,36Climber,372GC,286Time trial,3607Sprint,2003One day races
Jonathan  Castroviejo, 1.71 m, 62 kg   ,Spain,777Climber,1699GC,4334Time trial,112Sprint,253One day races
Dieter  Cappelle, 1.91 m, 76 kg   ,Belgium,0Climber,2GC,30Time trial,90Sprint,65One day races
Pavel  Padrnos, 1.90 m, 81 kg   ,Czech Republic,30Climber,664GC,595Time trial,284Sprint,255One day races
Wouter van Mechelen,NaN,NaN,Belgium,16Climber,19GC,14Time trial,930Sprint,654One day races
Robert  Wagner, 1.86 m, 75 kg   ,Germany,0Climber,374GC,301Time trial,1459Sprint,679One day races
Dario  Cataldo, 1.75 m, 64 kg   ,Italy,1982Climber,1600GC,1159Time trial,674Sprint,640One day races
Davy  Commeyne, 1.84 m, 70 kg   ,Belgium,27Climber,183GC,44Time trial,861Sprint,593One day races
Arturo  Grávalos, 1.85 m, 72 kg   ,Spain,0Climber,0GC,0Time trial,0Sprint,0One day races
Fabien  Patanchon, 1.79 m, 69 kg   ,France,2Climber,80GC,0Time trial,116Sprint,25One day races
Tom  Bohli, 1.83 m, 71 kg   ,Switzerland,21Climber,171GC,879Time trial,155Sprint,153One day races
Sonny  Colbrelli, 1.76 m, 74 kg   ,Italy,2846Climber,1164GC,142Time trial,3452Sprint,5387One day races
Antoine  Demoitié,NaN,NaN,NaN,40Climber,49GC,3Time trial,918Sprint,574One day races
Riccardo  Chiarini, 1.84 m, 70 kg   ,Italy,280Climber,311GC,44Time trial,249Sprint,585One day races
Michał  Kwiatkowski, 1.76 m, 68 kg   ,Poland,4292Climber,3374GC,3374Time trial,906Sprint,4267One day races
Ioannis  Tamouridis, 1.80 m, 70 kg   ,Greece,90Climber,393GC,687Time trial,1146Sprint,241One day races
Federico  Vitali,NaN,NaN,Italy,0Climber,0GC,0Time trial,104Sprint,28One day races
Tyler  Williams, 1.80 m, 73 kg   ,United States,4Climber,68GC,97Time trial,71Sprint,23One day races
Kevin  Vermaerke, 1.79 m, 67 kg   ,United States,101Climber,74GC,10Time trial,3Sprint,49One day races
Paolo  Locatelli, 1.85 m, 83 kg   ,Italy,0Climber,0GC,5Time trial,97Sprint,7One day races
Fabio  Baldato, 1.80 m, 60 kg   ,Italy,478Climber,789GC,136Time trial,7336Sprint,4138One day races
Bryan  Nauleau, 1.81 m, 67 kg   ,France,23Climber,160GC,164Time trial,156Sprint,75One day races
Egoi  Martínez, 1.81 m, 70 kg   ,Spain,1292Climber,1220GC,318Time trial,395Sprint,373One day races
Ruben  Reig,NaN,NaN,Spain,2Climber,1GC,4Time trial,23Sprint,0One day races
Will  Clarke, 1.92 m, 81 kg   ,Australia,10Climber,176GC,678Time trial,414Sprint,86One day races
Kristof De Zutter,NaN,NaN,Belgium,0Climber,0GC,0Time trial,2Sprint,0One day races
Cristiano  Salerno, 1.82 m, 64 kg   ,Italy,169Climber,325GC,36Time trial,142Sprint,201One day races
Marco  Mathis, 1.86 m, 71 kg   ,Germany,2Climber,54GC,174Time trial,71Sprint,59One day races
Marek  Rutkiewicz, 1.82 m, 66 kg   ,Poland,212Climber,1575GC,475Time trial,1464Sprint,428One day races
Wouter  Mol, 1.95 m, 83 kg   ,Netherlands,22Climber,209GC,33Time trial,973Sprint,826One day races
Sam  Bennett, 1.78 m, 73 kg   ,Ireland,817Climber,316GC,25Time trial,5646Sprint,2108One day races
Loïc  Vliegen, 1.84 m, 70 kg   ,Belgium,381Climber,585GC,23Time trial,517Sprint,760One day races
Nikolas  Maes, 1.90 m, 78 kg   ,Belgium,178Climber,505GC,112Time trial,1439Sprint,1036One day races
Kurt  Hovelijnck, 1.85 m, 75 kg   ,Belgium,24Climber,77GC,0Time trial,650Sprint,431One day races
Andrew  Talansky, 1.75 m, 63 kg   ,United States,1870Climber,2636GC,1620Time trial,262Sprint,59One day races
Luca  Chirico, 1.67 m, 58 kg   ,Italy,172Climber,279GC,26Time trial,350Sprint,240One day races
Erik Nordsæter  Resell,NaN,NaN,Norway,24Climber,10GC,1Time trial,180Sprint,94One day races
Thomas De Gendt, 1.79 m, 73 kg   ,Belgium,2144Climber,1197GC,2195Time trial,466Sprint,243One day races
Andrey  Amador, 1.81 m, 73 kg   ,Costa Rica,1224Climber,1449GC,1218Time trial,316Sprint,651One day races
László  Bodrogi, 1.87 m, 79 kg   ,France,75Climber,1025GC,5414Time trial,662Sprint,727One day races
Jenthe  Biermans, 1.84 m, 78 kg   ,Belgium,99Climber,214GC,56Time trial,196Sprint,268One day races
René  Weissinger, 1.84 m, 74 kg   ,Germany,7Climber,210GC,55Time trial,1201Sprint,364One day races
Leonid  Krasnov, 1.75 m, 65 kg   ,Russia,3Climber,27GC,4Time trial,832Sprint,176One day races
Niki  Terpstra, 1.90 m, 75 kg   ,Netherlands,838Climber,2397GC,1741Time trial,2293Sprint,4581One day races
Fabien  Grellier, 1.75 m, 65 kg   ,France,126Climber,145GC,17Time trial,129Sprint,183One day races
Amets  Txurruka, 1.71 m, 58 kg   ,Spain,846Climber,1102GC,49Time trial,326Sprint,431One day races
Juan Antonio  Flecha, 1.81 m, 72 kg   ,Spain,1150Climber,1771GC,656Time trial,2598Sprint,4029One day races
Jonas  Ljungblad, 1.77 m, 70 kg   ,Sweden,100Climber,327GC,281Time trial,1385Sprint,609One day races
