Name,Height,Weight,Nationality,Climbing,General_Classification,Time_Trial,Sprint,One_Day_Races
Sergey  Firsanov, 1.72 m, 58 kg   ,Russia,596Climber,1257GC,568Time trial,1078Sprint,587One day races
Viacheslav  Kuznetsov, 1.84 m, 70 kg   ,Russia,157Climber,649GC,67Time trial,976Sprint,687One day races
Mauro  Schmid, 1.87 m, 70 kg   ,Switzerland,211Climber,122GC,16Time trial,2Sprint,20One day races
Maarten van Trijp,NaN, 1.87 m,Netherlands,0Climber,8GC,0Time trial,491Sprint,175One day races
Luca  Paolini, 1.74 m, 66 kg   ,Italy,1418Climber,666GC,77Time trial,4380Sprint,5694One day races
Laurens De Vreese, 1.90 m, 78 kg   ,Belgium,139Climber,346GC,5Time trial,535Sprint,769One day races
Jérémy  Lecroq, 1.86 m, 76 kg   ,France,6Climber,7GC,9Time trial,430Sprint,375One day races
Daniel  Lloyd, 1.87 m, 70 kg   ,Great Britain,27Climber,383GC,115Time trial,503Sprint,142One day races
Stijn  Devolder, 1.82 m, 72 kg   ,Belgium,594Climber,1868GC,2516Time trial,900Sprint,1705One day races
Piet  Rooijakkers, 1.87 m, 68 kg   ,Netherlands,31Climber,385GC,305Time trial,476Sprint,270One day races
Fred  Wright, 1.84 m, 75 kg   ,Great Britain,250Climber,126GC,112Time trial,76Sprint,114One day races
Przemysław  Niemiec, 1.84 m, 62 kg   ,Poland,1668Climber,2164GC,442Time trial,806Sprint,1111One day races
Alan  Pérez, 1.75 m, 66 kg   ,Spain,338Climber,220GC,15Time trial,72Sprint,129One day races
Bjorn  Cornelissen,NaN,NaN,Netherlands,0Climber,0GC,0Time trial,294Sprint,155One day races
Luca  Mozzato, 1.78 m, 67 kg   ,Italy,138Climber,61GC,0Time trial,626Sprint,482One day races
Julien  Trarieux, 1.83 m, 71 kg   ,France,28Climber,36GC,26Time trial,94Sprint,145One day races
Steffen  Wesemann, 1.73 m, 72 kg   ,Switzerland,234Climber,874GC,914Time trial,2600Sprint,2803One day races
Grégory  Habeaux, 1.83 m, 68 kg   ,Belgium,45Climber,143GC,0Time trial,565Sprint,283One day races
Francesco  Chicchi, 1.76 m, 76 kg   ,Italy,54Climber,65GC,1Time trial,4760Sprint,1245One day races
Domen  Novak, 1.81 m, 70 kg   ,Slovenia,130Climber,261GC,26Time trial,44Sprint,39One day races
Federico  Zurlo, 1.78 m, 70 kg   ,Italy,84Climber,133GC,71Time trial,393Sprint,111One day races
Ángel  Vicioso, 1.70 m, 60 kg   ,Spain,1399Climber,1713GC,1234Time trial,2295Sprint,1781One day races
Jesper  Hansen, 1.72 m, 60 kg   ,Denmark,466Climber,1247GC,8Time trial,171Sprint,65One day races
Yanto  Barker,NaN, 1.82 m,Great Britain,15Climber,56GC,0Time trial,529Sprint,100One day races
Connor  Mcconvey, 1.88 m, 67 kg   ,Ireland,9Climber,55GC,45Time trial,67Sprint,9One day races
Diego  Rosa, 1.78 m, 65 kg   ,Italy,1246Climber,870GC,343Time trial,112Sprint,1042One day races
Luciano André  Pagliarini, 1.74 m, 68 kg   ,Brazil,118Climber,56GC,0Time trial,1545Sprint,259One day races
Andoni  Lafuente, 1.74 m, 60 kg   ,Spain,0Climber,25GC,0Time trial,7Sprint,5One day races
Joost  Posthuma, 1.89 m, 76 kg   ,Netherlands,65Climber,1577GC,2187Time trial,585Sprint,359One day races
Kevin  Geniets, 1.93 m, 73 kg   ,Luxembourg,115Climber,125GC,172Time trial,97Sprint,265One day races
David  Harrigan,NaN,NaN,Australia,0Climber,15GC,9Time trial,131Sprint,38One day races
José Iván  Gutiérrez, 1.81 m, 71 kg   ,Spain,574Climber,2085GC,3377Time trial,1067Sprint,887One day races
Simon  Sellier, 1.75 m, 68 kg   ,France,4Climber,11GC,3Time trial,131Sprint,21One day races
Josu  Agirre, 1.86 m, 68 kg   ,Spain,2Climber,64GC,81Time trial,30Sprint,5One day races
Matti  Helminen, 1.84 m, 76 kg   ,Finland,1Climber,4GC,723Time trial,150Sprint,147One day races
Corné van Kessel, 1.77 m, 68 kg   ,Netherlands,3Climber,7GC,12Time trial,137Sprint,63One day races
Luca  Raggio,NaN,NaN,Italy,58Climber,118GC,10Time trial,72Sprint,25One day races
Matvey  Zubov, 1.82 m, 72 kg   ,Russia,13Climber,6GC,32Time trial,110Sprint,18One day races
Quinn  Simmons, 1.82 m, 72 kg   ,United States,287Climber,286GC,2Time trial,54Sprint,192One day races
Martin  Kohler, 1.78 m, 69 kg   ,Switzerland,126Climber,199GC,186Time trial,192Sprint,142One day races
Jure  Golčer, 1.80 m, 66.5 kg   ,Slovenia,503Climber,1080GC,159Time trial,401Sprint,433One day races
Petr  Vakoč, 1.80 m, 68 kg   ,Czech Republic,468Climber,646GC,185Time trial,562Sprint,1216One day races
Barry  Markus, 1.79 m, 75 kg   ,Netherlands,14Climber,65GC,30Time trial,1176Sprint,450One day races
Ruben  Zepuntke, 1.84 m, 76 kg   ,Germany,16Climber,96GC,98Time trial,166Sprint,21One day races
Matteo  Moschetti, 1.79 m, 73 kg   ,Italy,117Climber,50GC,26Time trial,990Sprint,434One day races
Rafał  Majka, 1.73 m, 62 kg   ,Poland,6382Climber,4779GC,860Time trial,113Sprint,1115One day races
Eddy  Serri,NaN,NaN,Italy,10Climber,62GC,71Time trial,762Sprint,599One day races
Dimitri  Champion, 1.80 m, 70 kg   ,France,84Climber,198GC,349Time trial,128Sprint,205One day races
Dario David  Cioni, 1.85 m, 72 kg   ,Italy,931Climber,1627GC,1044Time trial,268Sprint,151One day races
Nicolas  Portal,NaN,NaN,NaN,231Climber,433GC,168Time trial,284Sprint,160One day races
Erik  Baška, 1.82 m, 74 kg   ,Slovakia,23Climber,64GC,46Time trial,740Sprint,426One day races
Tim  Kerkhof, 1.90 m, 76 kg   ,Netherlands,0Climber,9GC,2Time trial,113Sprint,67One day races
Peter  Wrolich, 1.79 m, 68 kg   ,Austria,170Climber,451GC,84Time trial,2491Sprint,1244One day races
Ruslan  Tleubayev, 1.78 m, 70 kg   ,Kazakhstan,68Climber,181GC,28Time trial,1660Sprint,383One day races
Gatis  Smukulis, 1.83 m, 72 kg   ,Latvia,102Climber,293GC,356Time trial,280Sprint,242One day races
Justin  Jules, 1.67 m, 64 kg   ,France,52Climber,263GC,1Time trial,2723Sprint,1096One day races
Salvatore  Commesso, 1.64 m, 66 kg   ,Italy,500Climber,391GC,40Time trial,2206Sprint,1232One day races
Artyom  Zakharov, 1.79 m, 70 kg   ,Kazakhstan,14Climber,65GC,94Time trial,45Sprint,76One day races
Kun  Jiang, 1.76 m, 71 kg   ,China,0Climber,14GC,0Time trial,71Sprint,0One day races
Timothy  Gudsell, 1.87 m, 77 kg   ,New Zealand,21Climber,110GC,152Time trial,124Sprint,37One day races
Matteo  Draperi, 1.83 m, 70 kg   ,Italy,12Climber,14GC,0Time trial,71Sprint,0One day races
Angelo  Furlan, 1.72 m, 72 kg   ,Italy,292Climber,278GC,110Time trial,2758Sprint,549One day races
Roberto De Patre, 1.79 m, 66 kg   ,Italy,0Climber,0GC,0Time trial,19Sprint,0One day races
Bram de Groot, 1.73 m, 65 kg   ,Netherlands,342Climber,528GC,196Time trial,1012Sprint,396One day races
Riccardo  Minali, 1.80 m, 74 kg   ,Italy,41Climber,130GC,0Time trial,1296Sprint,323One day races
Jonas  Aaen Jørgensen, 1.75 m, 63 kg   ,Denmark,76Climber,212GC,21Time trial,1382Sprint,612One day races
Jonas van Genechten, 1.76 m, 67 kg   ,Belgium,220Climber,131GC,39Time trial,2590Sprint,1588One day races
Dylan  Groenewegen, 1.77 m, 70 kg   ,Netherlands,142Climber,260GC,15Time trial,6296Sprint,2648One day races
Adriano  Malori, 1.82 m, 68 kg   ,Italy,35Climber,676GC,3145Time trial,335Sprint,110One day races
Mattia  Cattaneo, 1.84 m, 67 kg   ,Italy,1308Climber,1209GC,1091Time trial,200Sprint,680One day races
Gerben  Löwik, 1.88 m, 72 kg   ,Netherlands,62Climber,723GC,71Time trial,1574Sprint,1274One day races
Klaas  Sys,NaN,NaN,Belgium,31Climber,61GC,12Time trial,133Sprint,5One day races
Patrick  Gretsch, 1.87 m, 69 kg   ,Germany,42Climber,340GC,2061Time trial,73Sprint,46One day races
Lars  Michaelsen, 1.85 m, 79 kg   ,Denmark,68Climber,491GC,1Time trial,4524Sprint,3474One day races
Alexandr  Kolobnev, 1.74 m, 64 kg   ,Russia,2001Climber,1259GC,22Time trial,1152Sprint,3947One day races
Josip  Rumac, 1.82 m, 71 kg   ,Croatia,78Climber,56GC,138Time trial,203Sprint,125One day races
Jakob  Egholm,NaN,NaN,Denmark,0Climber,5GC,1Time trial,13Sprint,5One day races
Steven  Tronet, 1.75 m, 67 kg   ,France,84Climber,361GC,3Time trial,1316Sprint,604One day races
Giampaolo  Caruso, 1.73 m, 60 kg   ,Italy,1948Climber,1622GC,2Time trial,512Sprint,1443One day races
Sébastien  Delfosse, 1.87 m, 73 kg   ,Belgium,126Climber,365GC,93Time trial,734Sprint,738One day races
Alex  Rasmussen, 1.86 m, 88 kg   ,Denmark,27Climber,124GC,1735Time trial,1276Sprint,414One day races
Andrey  Grivko, 1.81 m, 70 kg   ,Ukraine,754Climber,2113GC,2094Time trial,502Sprint,1145One day races
Marlon Alirio  Pérez, 1.75 m, 68 kg   ,Colombia,88Climber,181GC,535Time trial,890Sprint,385One day races
Mauro  Santambrogio, 1.73 m, 63 kg   ,Italy,859Climber,612GC,7Time trial,796Sprint,1307One day races
Cyril  Lemoine, 1.82 m, 73 kg   ,France,119Climber,828GC,956Time trial,1007Sprint,729One day races
Raivis  Belohvoščiks, 1.82 m, 70 kg   ,Latvia,100Climber,449GC,2768Time trial,202Sprint,376One day races
Toms  Skujiņš, 1.78 m, 70 kg   ,Latvia,954Climber,704GC,199Time trial,697Sprint,1277One day races
Jonas  Gregaard, 1.86 m, 66 kg   ,Denmark,146Climber,247GC,7Time trial,136Sprint,85One day races
Paolo  Bailetti,NaN,NaN,Italy,260Climber,154GC,15Time trial,772Sprint,1034One day races
William  Dugan,NaN,NaN,United States,4Climber,14GC,1Time trial,39Sprint,0One day races
Huub  Duijn, 1.84 m, 73 kg   ,Netherlands,200Climber,595GC,218Time trial,1260Sprint,927One day races
Ricardo  Serrano, 1.81 m, 67 kg   ,Spain,298Climber,553GC,101Time trial,1080Sprint,731One day races
Gustav Erik  Larsson, 1.95 m, 77 kg   ,Sweden,242Climber,2197GC,5067Time trial,286Sprint,410One day races
Leonardo  Scarselli, 1.80 m, 67 kg   ,Italy,4Climber,159GC,49Time trial,101Sprint,112One day races
William  Bonnet, 1.85 m, 80 kg   ,France,293Climber,469GC,448Time trial,1383Sprint,1014One day races
Mickaël  Delage, 1.80 m, 70 kg   ,France,181Climber,705GC,18Time trial,996Sprint,904One day races
Tiago  Machado, 1.78 m, 63 kg   ,Portugal,1220Climber,3123GC,1696Time trial,574Sprint,383One day races
Jan  Bakelants, 1.77 m, 67 kg   ,Belgium,2898Climber,2589GC,309Time trial,1015Sprint,1967One day races
Timothy  Dupont, 1.79 m, 72 kg   ,Belgium,71Climber,158GC,2Time trial,4957Sprint,3209One day races
Sébastien  Minard, 1.77 m, 65 kg   ,France,393Climber,609GC,62Time trial,559Sprint,718One day races
Julen  Amezqueta, 1.74 m, 63 kg   ,Spain,218Climber,291GC,1Time trial,43Sprint,84One day races
Marcin  Białobłocki, 1.97 m, 79 kg   ,Poland,11Climber,72GC,569Time trial,343Sprint,64One day races
Grzegorz  Stępniak, 1.76 m, 75 kg   ,Poland,0Climber,352GC,88Time trial,1060Sprint,119One day races
Maximiliano  Richeze, 1.77 m, 68 kg   ,Argentina,1032Climber,523GC,151Time trial,4138Sprint,1113One day races
Olivier  Kaisen, 1.95 m, 82 kg   ,Belgium,150Climber,553GC,342Time trial,158Sprint,165One day races
Aivaras  Baranauskas,NaN,NaN,Lithuania,4Climber,88GC,140Time trial,288Sprint,81One day races
Michał  Gołaś, 1.80 m, 65 kg   ,Poland,256Climber,613GC,68Time trial,828Sprint,871One day races
Marcin  Sapa, 1.79 m, 82 kg   ,Poland,23Climber,466GC,412Time trial,1189Sprint,348One day races
Daniel  Turek, 1.83 m, 72 kg   ,Czech Republic,84Climber,206GC,76Time trial,243Sprint,119One day races
Timo  Roosen, 1.94 m, 78 kg   ,Netherlands,286Climber,390GC,195Time trial,631Sprint,974One day races
Giovanni  Lonardi, 1.80 m, 70 kg   ,Italy,152Climber,54GC,3Time trial,704Sprint,151One day races
Emanuel  Buchmann, 1.81 m, 59 kg   ,Germany,2576Climber,2489GC,232Time trial,66Sprint,686One day races
Sergey  Kolesnikov,NaN, 1.79 m,Russia,60Climber,191GC,28Time trial,652Sprint,321One day races
Yann  Huguet, 1.77 m, 66 kg   ,France,112Climber,190GC,1Time trial,203Sprint,477One day races
Romain  Sicard, 1.79 m, 63 kg   ,France,718Climber,1096GC,340Time trial,81Sprint,390One day races
Cédric  Pineau, 1.77 m, 68 kg   ,France,108Climber,426GC,3Time trial,578Sprint,562One day races
Simon  Pellaud, 1.79 m, 70 kg   ,Switzerland,193Climber,277GC,35Time trial,274Sprint,148One day races
Wilfried  Cretskens, 1.82 m, 75 kg   ,Belgium,34Climber,343GC,21Time trial,712Sprint,478One day races
Mathieu  Drujon, 1.85 m, 75 kg   ,France,61Climber,138GC,1Time trial,1223Sprint,618One day races
Ian  McKissick,NaN,NaN,United States,4Climber,15GC,13Time trial,10Sprint,0One day races
Oscar  Riesebeek, 1.91 m, 78 kg   ,Netherlands,136Climber,354GC,58Time trial,392Sprint,437One day races
Simone  Masciarelli, 1.75 m, 63 kg   ,Italy,52Climber,50GC,10Time trial,380Sprint,539One day races
Artem  Ovechkin, 1.73 m, 61 kg   ,Russia,294Climber,953GC,1612Time trial,170Sprint,12One day races
Alexander  Serebryakov, 1.80 m, 70 kg   ,Russia,0Climber,28GC,25Time trial,1160Sprint,201One day races
Alexandre  Pichot, 1.83 m, 72 kg   ,France,184Climber,334GC,13Time trial,787Sprint,632One day races
Sven van den Houte,NaN,NaN,Belgium,2Climber,14GC,0Time trial,64Sprint,11One day races
Carlos Iván  Oyarzún, 1.77 m, 66 kg   ,Chile,70Climber,167GC,519Time trial,184Sprint,113One day races
Stéphane  Augé, 1.74 m, 65 kg   ,France,127Climber,478GC,33Time trial,622Sprint,276One day races
Sho  Hatsuyama, 1.75 m, 59 kg   ,Japan,47Climber,64GC,7Time trial,156Sprint,72One day races
Vytautas  Kaupas,NaN,NaN,Lithuania,2Climber,25GC,128Time trial,408Sprint,231One day races
Jonas  Tenbrock, 1.92 m, 74 kg   ,Germany,0Climber,43GC,6Time trial,6Sprint,0One day races
Steven de Jongh, 1.76 m, 76 kg   ,Netherlands,210Climber,867GC,60Time trial,5404Sprint,3648One day races
Stijn  Vandenbergh, 1.99 m, 86 kg   ,Belgium,163Climber,548GC,25Time trial,674Sprint,1295One day races
Jean-Marc  Marino, 1.77 m, 65 kg   ,France,85Climber,355GC,0Time trial,368Sprint,210One day races
Mathieu  Heijboer, 1.92 m, 78 kg   ,Netherlands,4Climber,91GC,279Time trial,144Sprint,75One day races
Arne  Marit, 1.85 m, 72 kg   ,Belgium,34Climber,8GC,3Time trial,314Sprint,355One day races
Pier Paolo De Negri, 1.70 m, 61 kg   ,Italy,142Climber,144GC,10Time trial,1173Sprint,518One day races
Stefano  Pirazzi, 1.80 m, 62 kg   ,Italy,484Climber,512GC,205Time trial,283Sprint,112One day races
Jonas  Castrique, 1.87 m, 81 kg   ,Belgium,0Climber,6GC,2Time trial,65Sprint,13One day races
Logan  Owen, 1.78 m, 67 kg   ,United States,33Climber,142GC,0Time trial,345Sprint,30One day races
Stijn  Joseph,NaN,NaN,Belgium,0Climber,0GC,9Time trial,37Sprint,23One day races
Michael Van Staeyen, 1.67 m, 62 kg   ,Belgium,8Climber,85GC,6Time trial,3896Sprint,1848One day races
Nicola  Bagioli, 1.68 m, 64 kg   ,Italy,118Climber,39GC,0Time trial,152Sprint,315One day races
Masahiro  Shinagawa,NaN,NaN,Japan,49Climber,45GC,51Time trial,217Sprint,65One day races
Mattia  Bais, 1.75 m, 66 kg   ,Italy,90Climber,111GC,19Time trial,145Sprint,102One day races
Simone  Cadamuro, 1.85 m, 78 kg   ,Italy,176Climber,35GC,2Time trial,2034Sprint,642One day races
Caleb  Ewan, 1.67 m, 69 kg   ,Australia,916Climber,245GC,148Time trial,5193Sprint,1842One day races
Tom  Stubbe, 1.77 m, 66 kg   ,Belgium,38Climber,236GC,72Time trial,268Sprint,65One day races
Stanislav  Kozubek,NaN,NaN,Czech Republic,43Climber,217GC,272Time trial,392Sprint,174One day races
Kim  Borry,NaN,NaN,Belgium,0Climber,0GC,1Time trial,18Sprint,0One day races
Luigi  Sestili,NaN,NaN,Italy,50Climber,61GC,41Time trial,172Sprint,90One day races
Andrea Di Renzo, 1.79 m, 62 kg   ,Italy,14Climber,32GC,0Time trial,10Sprint,10One day races
Félix Vidal  Celis,NaN,NaN,Spain,64Climber,8GC,0Time trial,620Sprint,110One day races
Dainius  Kairelis, 1.77 m, 63 kg   ,Lithuania,50Climber,75GC,126Time trial,355Sprint,313One day races
Kane  Oakley,NaN,NaN,Australia,6Climber,0GC,0Time trial,5Sprint,14One day races
Nico  Sijmens, 1.75 m, 69 kg   ,Belgium,268Climber,735GC,194Time trial,1472Sprint,1036One day races
Krzysztof  Szczawiński,NaN,NaN,Poland,55Climber,1GC,16Time trial,1044Sprint,640One day races
Daniele  Ratto, 1.80 m, 74 kg   ,Italy,528Climber,213GC,20Time trial,928Sprint,573One day races
Michael  Valgren, 1.79 m, 71 kg   ,Denmark,1830Climber,1148GC,451Time trial,436Sprint,2638One day races
Thomas  Bertolini,NaN,NaN,Italy,2Climber,6GC,5Time trial,135Sprint,80One day races
Oscar  Gatto, 1.74 m, 67 kg   ,Italy,619Climber,560GC,70Time trial,1802Sprint,1647One day races
Fabio  Jakobsen, 1.81 m, 78 kg   ,Netherlands,206Climber,59GC,38Time trial,2708Sprint,1201One day races
Miguel Angel  Rubiano, 1.70 m, 58 kg   ,Colombia,812Climber,546GC,85Time trial,1378Sprint,1803One day races
Pedro  Arreitunandia,NaN,NaN,Spain,308Climber,710GC,250Time trial,713Sprint,394One day races
Tom  Stamsnijder, 1.91 m, 76 kg   ,Netherlands,115Climber,495GC,434Time trial,389Sprint,250One day races
Mark  Renshaw, 1.79 m, 74 kg   ,Australia,118Climber,560GC,345Time trial,4448Sprint,1359One day races
Kristoffer  Halvorsen, 1.79 m, 69 kg   ,Norway,118Climber,244GC,2Time trial,1228Sprint,804One day races
David  Lozano, 1.78 m, 63 kg   ,Spain,104Climber,134GC,0Time trial,90Sprint,43One day races
Steffen  Radochla, 1.73 m, 70 kg   ,Germany,4Climber,116GC,2Time trial,3726Sprint,1373One day races
Dmytro  Krivtsov, 1.83 m, 72 kg   ,Ukraine,7Climber,45GC,38Time trial,480Sprint,107One day races
Erik  Zabel, 1.78 m, 69 kg   ,Germany,3689Climber,1433GC,113Time trial,20262Sprint,9739One day races
Carlos  Betancur, 1.67 m, 60 kg   ,Colombia,2011Climber,1579GC,285Time trial,413Sprint,1214One day races
Óscar  Pereiro, 1.77 m, 67 kg   ,Spain,1904Climber,2531GC,2087Time trial,579Sprint,485One day races
Frederik  Penne,NaN,NaN,Belgium,0Climber,0GC,0Time trial,40Sprint,26One day races
Martin  Salmon, 1.79 m, 59 kg   ,Germany,0Climber,5GC,0Time trial,3Sprint,5One day races
Benjamin  King,NaN,NaN,Australia,23Climber,29GC,41Time trial,70Sprint,10One day races
Christopher  Juul-Jensen, 1.83 m, 73 kg   ,Denmark,284Climber,982GC,357Time trial,205Sprint,657One day races
Juan José  Oroz, 1.87 m, 71 kg   ,Spain,178Climber,541GC,123Time trial,131Sprint,180One day races
Luigi  Miletta, 1.80 m, 63 kg   ,Italy,0Climber,0GC,42Time trial,91Sprint,30One day races
Ondřej  Cink, 1.80 m, 66 kg   ,Czech Republic,81Climber,71GC,10Time trial,0Sprint,17One day races
Nicolas  Edet, 1.76 m, 60 kg   ,France,1183Climber,1429GC,74Time trial,618Sprint,441One day races
Lilian  Calmejane, 1.84 m, 69 kg   ,France,1232Climber,1155GC,182Time trial,692Sprint,845One day races
Theo  Bos, 1.90 m, 77 kg   ,Netherlands,33Climber,247GC,56Time trial,3132Sprint,813One day races
Dennis van Winden, 1.84 m, 70 kg   ,Netherlands,72Climber,340GC,190Time trial,677Sprint,288One day races
Mirco  Maestri, 1.82 m, 73 kg   ,Italy,45Climber,194GC,80Time trial,306Sprint,95One day races
Filippo  Zana, 1.85 m, 65 kg   ,Italy,167Climber,277GC,1Time trial,119Sprint,99One day races
Simone  Ponzi, 1.78 m, 63 kg   ,Italy,423Climber,201GC,13Time trial,1880Sprint,2279One day races
Martial  Ricci Poggi,NaN,NaN,France,1Climber,0GC,1Time trial,44Sprint,40One day races
Andrea  Moletta,NaN,NaN,Italy,200Climber,159GC,1Time trial,447Sprint,538One day races
Fabien  Bacquet,NaN,NaN,France,23Climber,17GC,0Time trial,1060Sprint,417One day races
Davide  Rebellin, 1.71 m, 63 kg   ,Italy,7417Climber,7568GC,2175Time trial,9476Sprint,15485One day races
William  Frischkorn, 1.83 m, 68 kg   ,United States,4Climber,184GC,74Time trial,193Sprint,54One day races
Ivan  Degasperi,NaN,NaN,Italy,4Climber,0GC,0Time trial,17Sprint,9One day races
Fabio  Aru, 1.83 m, 63 kg   ,Italy,4550Climber,3573GC,580Time trial,146Sprint,926One day races
Wouter  Wippert, 1.70 m, 75 kg   ,Netherlands,2Climber,89GC,33Time trial,2766Sprint,738One day races
Dario  Andriotto, 1.77 m, 68 kg   ,Italy,94Climber,327GC,702Time trial,290Sprint,468One day races
Nairo  Quintana, 1.67 m, 59 kg   ,Colombia,8078Climber,9136GC,1258Time trial,182Sprint,743One day races
Javier  Megías, 1.73 m, 63 kg   ,Spain,236Climber,311GC,32Time trial,356Sprint,252One day races
Justin  Mottier, 1.80 m, 65 kg   ,France,13Climber,18GC,15Time trial,57Sprint,43One day races
Sebastian  Lang, 1.87 m, 77 kg   ,Germany,268Climber,843GC,2659Time trial,438Sprint,82One day races
Robby  Meul,NaN,NaN,Belgium,0Climber,4GC,0Time trial,226Sprint,126One day races
Ivo  Oliveira, 1.85 m, 68 kg   ,Portugal,58Climber,40GC,155Time trial,88Sprint,20One day races
Valeriy  Dmitriyev, 1.75 m, 69 kg   ,Kazakhstan,30Climber,58GC,64Time trial,244Sprint,51One day races
Ján  Valach, 1.94 m, 75 kg   ,Slovakia,9Climber,181GC,168Time trial,430Sprint,283One day races
Angélo  Tulik, 1.76 m, 64 kg   ,France,112Climber,224GC,15Time trial,428Sprint,355One day races
Davide  Mucelli,NaN,NaN,Italy,152Climber,74GC,0Time trial,447Sprint,328One day races
Stefan  Denifl, 1.79 m, 65 kg   ,Austria,379Climber,743GC,146Time trial,216Sprint,326One day races
Alberto Di Lorenzo,NaN,NaN,Italy,9Climber,11GC,1Time trial,92Sprint,19One day races
Daniele  Nardello, 1.81 m, 74 kg   ,Italy,1458Climber,2349GC,1699Time trial,2661Sprint,4196One day races
Carlos  Castaño,NaN,NaN,Spain,104Climber,284GC,131Time trial,548Sprint,230One day races
Alessandro  Cortinovis, 1.82 m, 68 kg   ,Italy,26Climber,244GC,117Time trial,208Sprint,229One day races
Roman  Kustadinchev, 1.84 m, 66 kg   ,Russia,6Climber,5GC,23Time trial,8Sprint,12One day races
Sacha  Modolo, 1.80 m, 67 kg   ,Italy,845Climber,515GC,19Time trial,5266Sprint,1807One day races
Davide  Gabburo, 1.72 m, 63 kg   ,Italy,268Climber,128GC,10Time trial,164Sprint,330One day races
Zach  Bell, 1.75 m, 75 kg   ,Canada,10Climber,9GC,316Time trial,227Sprint,65One day races
Ian  Stannard, 1.91 m, 83 kg   ,Great Britain,73Climber,651GC,445Time trial,742Sprint,1120One day races
Steve  Morabito, 1.86 m, 74 kg   ,Switzerland,778Climber,1525GC,604Time trial,248Sprint,365One day races
Rick  Zabel, 1.84 m, 77 kg   ,Germany,219Climber,312GC,51Time trial,1125Sprint,599One day races
Matthew  Holmes, 1.78 m, 67 kg   ,Great Britain,237Climber,159GC,0Time trial,64Sprint,21One day races
Cristiano  Fumagalli,NaN,NaN,Italy,26Climber,10GC,12Time trial,345Sprint,148One day races
Lasse Norman  Hansen, 1.80 m, 75 kg   ,Denmark,45Climber,391GC,645Time trial,432Sprint,309One day races
Clement  Lhotellerie,NaN,NaN,France,107Climber,360GC,30Time trial,239Sprint,82One day races
Valentin  Madouas, 1.78 m, 71 kg   ,France,1060Climber,593GC,64Time trial,316Sprint,1322One day races
Luca  Mazzanti, 1.70 m, 64 kg   ,Italy,1390Climber,972GC,7Time trial,2550Sprint,4437One day races
Fränk  Schleck, 1.86 m, 65 kg   ,Luxembourg,5277Climber,5116GC,682Time trial,1357Sprint,3388One day races
Pierre  Cazaux, 1.71 m, 59 kg   ,France,79Climber,160GC,0Time trial,173Sprint,126One day races
Léon van Bon, 1.76 m, 72 kg   ,Netherlands,343Climber,621GC,854Time trial,3684Sprint,3923One day races
Marc  Soler, 1.86 m, 68 kg   ,Spain,1866Climber,1722GC,654Time trial,64Sprint,231One day races
Matteo  Bono, 1.71 m, 60 kg   ,Italy,146Climber,440GC,2Time trial,242Sprint,284One day races
Egan  Bernal, 1.75 m, 60 kg   ,Colombia,3324Climber,3483GC,504Time trial,198Sprint,892One day races
Michael  Schär, 1.98 m, 78 kg   ,Switzerland,253Climber,941GC,150Time trial,412Sprint,757One day races
Dmitriy  Muravyev, 1.89 m, 75 kg   ,Kazakhstan,166Climber,489GC,325Time trial,560Sprint,567One day races
Klaas de Gruyter,NaN,NaN,Belgium,0Climber,10GC,0Time trial,52Sprint,0One day races
Rafael  Serrano,NaN,NaN,Spain,0Climber,5GC,34Time trial,55Sprint,0One day races
Piotr  Gawronski, 1.85 m, 73 kg   ,Poland,0Climber,6GC,45Time trial,12Sprint,10One day races
Kevyn  Ista, 1.83 m, 70 kg   ,Belgium,28Climber,288GC,247Time trial,1630Sprint,1240One day races
Filippo  Pozzato, 1.83 m, 73 kg   ,Italy,1810Climber,1123GC,455Time trial,3840Sprint,6199One day races
Tom  Criel,NaN,NaN,Belgium,22Climber,40GC,20Time trial,126Sprint,70One day races
Kaden  Groves, 1.76 m, 76 kg   ,Australia,150Climber,81GC,231Time trial,812Sprint,85One day races
Dries  Hollanders, 1.84 m, 70 kg   ,Belgium,0Climber,6GC,12Time trial,163Sprint,54One day races
Max  Kanter, 1.76 m, 68 kg   ,Germany,80Climber,158GC,32Time trial,657Sprint,190One day races
Volker  Ordowski, 1.70 m, 59 kg   ,Germany,13Climber,268GC,35Time trial,406Sprint,107One day races
Iuri  Filosi, 1.84 m, 70 kg   ,Italy,157Climber,96GC,90Time trial,240Sprint,364One day races
Balint  Szeghalmi, 1.70 m, 66 kg   ,Hungary,5Climber,1GC,32Time trial,71Sprint,26One day races
Alexander  Gufler,NaN,NaN,Italy,0Climber,0GC,6Time trial,2Sprint,0One day races
Alexander  Konychev, 1.85 m, 76 kg   ,Italy,0Climber,15GC,27Time trial,120Sprint,145One day races
Francesco  Tomei,NaN,NaN,Italy,0Climber,5GC,19Time trial,32Sprint,0One day races
Vladimir  Efimkin, 1.81 m, 67 kg   ,Russia,1050Climber,1340GC,215Time trial,445Sprint,238One day races
Alex  Edmondson, 1.84 m, 75 kg   ,Australia,106Climber,119GC,377Time trial,299Sprint,172One day races
Brent  Bookwalter, 1.80 m, 70 kg   ,United States,958Climber,1673GC,1237Time trial,714Sprint,470One day races
Michael  Friedman, 1.75 m, 82 kg   ,United States,11Climber,105GC,164Time trial,254Sprint,141One day races
